date,MID_PRICE,high,low,close,volume,openinterest,BID_PRICE_1,BID_SIZE_1,BID_PRICE_2,BID_SIZE_2,BID_PRICE_3,BID_SIZE_3,ASK_PRICE_1,ASK_SIZE_1,ASK_PRICE_2,ASK_SIZE_2,ASK_PRICE_3,ASK_SIZE_3,year,month,day,hour,minute,second,microsecond
1700-07-11,409.25,0,0,0,0,0,409.2,500,409.06,100,409.03,100,409.3,500,409.31,500,409.72,50,2022,8,1,13,30,1,721929
1700-07-12,409.25,0,0,0,0,0,409.2,500,409.06,100,409.03,100,409.31,500,409.72,50,409.95,100,2022,8,1,13,30,1,729970
1700-07-13,409.255,0,0,0,0,0,409.2,500,409.06,100,409.03,100,409.72,50,409.95,100,409.98,100,2022,8,1,13,30,1,729974
1700-07-14,409.46000000000004,0,0,0,0,0,409.2,500,409.06,100,409.03,100,409.3,500,409.72,50,409.95,100,2022,8,1,13,30,1,731374
1700-07-15,409.25,0,0,0,0,0,409.2,500,409.06,100,409.03,100,409.3,500,409.72,50,409.95,100,2022,8,1,13,30,1,741594
1700-07-16,409.25,0,0,0,0,0,409.2,500,409.06,100,409.03,100,409.72,50,409.95,100,409.98,100,2022,8,1,13,30,1,744179
1700-07-17,409.46000000000004,0,0,0,0,0,409.2,500,409.06,100,409.03,100,409.3,500,409.72,50,409.95,100,2022,8,1,13,30,1,744928
1700-07-18,409.25,0,0,0,0,0,409.2,500,409.06,100,409.03,100,409.3,500,409.72,50,409.95,100,2022,8,1,13,30,1,751119
1700-07-19,409.25,0,0,0,0,0,409.2,500,409.06,100,409.03,100,409.3,500,409.72,50,409.92,100,2022,8,1,13,30,1,762713
1700-07-20,409.25,0,0,0,0,0,409.26,200,409.2,500,409.06,100,409.3,500,409.72,50,409.92,100,2022,8,1,13,30,1,772623
1700-07-21,409.28,0,0,0,0,0,409.26,200,409.2,500,409.06,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,1,772645
1700-07-22,409.49,0,0,0,0,0,409.26,200,409.2,500,409.06,100,409.29,200,409.72,50,409.92,100,2022,8,1,13,30,1,772743
1700-07-23,409.275,0,0,0,0,0,409.26,200,409.2,500,409.06,100,409.29,300,409.72,50,409.92,100,2022,8,1,13,30,1,774309
1700-07-24,409.275,0,0,0,0,0,409.26,200,409.2,500,409.06,100,409.3,300,409.72,50,409.92,100,2022,8,1,13,30,1,790707
1700-07-25,409.28,0,0,0,0,0,409.26,200,409.2,500,409.06,100,409.3,100,409.72,50,409.92,100,2022,8,1,13,30,1,790710
1700-07-26,409.28,0,0,0,0,0,409.26,200,409.2,500,409.06,100,409.3,300,409.72,50,409.92,100,2022,8,1,13,30,1,790873
1700-07-27,409.28,0,0,0,0,0,409.26,200,409.2,500,409.06,100,409.3,100,409.72,50,409.92,100,2022,8,1,13,30,1,791319
1700-07-28,409.28,0,0,0,0,0,409.25,200,409.2,500,409.06,100,409.3,100,409.72,50,409.92,100,2022,8,1,13,30,1,796316
1700-07-29,409.275,0,0,0,0,0,409.2,500,409.06,100,409.03,100,409.3,100,409.72,50,409.92,100,2022,8,1,13,30,1,797000
1700-07-30,409.25,0,0,0,0,0,409.2,500,409.06,100,409.03,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,1,800442
1700-07-31,409.46000000000004,0,0,0,0,0,409.2,500,409.06,100,409.03,100,409.29,200,409.72,50,409.92,100,2022,8,1,13,30,1,802224
1700-08-01,409.245,0,0,0,0,0,409.2,500,409.06,100,409.03,100,409.29,300,409.72,50,409.92,100,2022,8,1,13,30,1,817708
1700-08-02,409.245,0,0,0,0,0,409.2,500,409.06,100,409.03,100,409.29,200,409.72,50,409.92,100,2022,8,1,13,30,1,817721
1700-08-03,409.245,0,0,0,0,0,409.2,500,409.06,100,409.03,100,409.29,300,409.72,50,409.92,100,2022,8,1,13,30,1,817912
1700-08-04,409.245,0,0,0,0,0,409.2,500,409.06,100,409.03,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,1,820694
1700-08-05,409.46000000000004,0,0,0,0,0,409.2,500,409.06,100,409.03,100,409.3,500,409.72,50,409.92,100,2022,8,1,13,30,1,820880
1700-08-06,409.25,0,0,0,0,0,409.2,500,409.06,100,409.03,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,1,820976
1700-08-07,409.46000000000004,0,0,0,0,0,409.2,500,409.06,100,409.03,100,409.3,500,409.72,50,409.92,100,2022,8,1,13,30,1,825291
1700-08-08,409.25,0,0,0,0,0,409.2,500,409.06,100,409.03,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,1,825665
1700-08-09,409.46000000000004,0,0,0,0,0,409.26,200,409.2,500,409.06,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,1,897357
1700-08-10,409.49,0,0,0,0,0,409.26,200,409.25,500,409.2,500,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,1,904228
1700-08-11,409.49,0,0,0,0,0,409.26,200,409.25,1000,409.2,500,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,1,904229
1700-08-12,409.49,0,0,0,0,0,409.26,200,409.25,1500,409.2,500,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,1,904229
1700-08-13,409.49,0,0,0,0,0,409.26,200,409.25,1000,409.2,500,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,1,904556
1700-08-14,409.49,0,0,0,0,0,409.26,200,409.25,500,409.2,500,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,1,909217
1700-08-15,409.49,0,0,0,0,0,409.26,200,409.2,500,409.06,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,1,909217
1700-08-16,409.49,0,0,0,0,0,409.25,200,409.2,500,409.06,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,1,918513
1700-08-17,409.485,0,0,0,0,0,409.2,500,409.06,100,409.03,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,1,918759
1700-08-18,409.46000000000004,0,0,0,0,0,409.24,200,409.2,500,409.06,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,1,944674
1700-08-19,409.48,0,0,0,0,0,409.24,700,409.2,500,409.06,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,2,979
1700-08-20,409.48,0,0,0,0,0,409.24,200,409.2,500,409.06,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,2,18496
1700-08-21,409.48,0,0,0,0,0,409.2,500,409.06,100,409.03,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,2,22447
1700-08-22,409.46000000000004,0,0,0,0,0,409.24,200,409.2,500,409.06,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,2,22600
1700-08-23,409.48,0,0,0,0,0,409.24,100,409.2,500,409.06,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,2,25733
1700-08-24,409.48,0,0,0,0,0,409.24,600,409.2,500,409.06,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,2,27685
1700-08-25,409.48,0,0,0,0,0,409.24,1100,409.2,500,409.06,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,2,27694
1700-08-26,409.48,0,0,0,0,0,409.23,1100,409.2,500,409.06,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,2,29221
1700-08-27,409.475,0,0,0,0,0,409.23,600,409.2,500,409.06,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,2,29356
1700-08-28,409.475,0,0,0,0,0,409.23,600,409.2,500,409.06,100,409.3,500,409.72,50,409.92,100,2022,8,1,13,30,2,29558
1700-08-29,409.265,0,0,0,0,0,409.23,600,409.2,500,409.06,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,2,29563
1700-08-30,409.475,0,0,0,0,0,409.23,600,409.2,500,409.06,100,409.3,500,409.72,50,409.92,100,2022,8,1,13,30,2,29690
1700-08-31,409.265,0,0,0,0,0,409.23,600,409.2,500,409.06,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,2,29691
1700-09-01,409.475,0,0,0,0,0,409.23,100,409.2,500,409.06,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,2,29777
1700-09-02,409.475,0,0,0,0,0,409.2,500,409.06,100,409.03,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,2,29815
1700-09-03,409.46000000000004,0,0,0,0,0,409.2,500,409.06,100,409.03,100,409.28,500,409.72,50,409.92,100,2022,8,1,13,30,2,30021
1700-09-04,409.24,0,0,0,0,0,409.2,500,409.06,100,409.03,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,2,30065
1700-09-05,409.46000000000004,0,0,0,0,0,409.2,500,409.06,100,409.03,100,409.29,200,409.72,50,409.92,100,2022,8,1,13,30,2,30106
1700-09-06,409.245,0,0,0,0,0,409.23,500,409.2,500,409.06,100,409.29,200,409.72,50,409.92,100,2022,8,1,13,30,2,30206
1700-09-07,409.26,0,0,0,0,0,409.23,500,409.06,100,409.03,100,409.29,200,409.72,50,409.92,100,2022,8,1,13,30,2,30544
1700-09-08,409.26,0,0,0,0,0,409.06,100,409.03,100,408.99,100,409.29,200,409.72,50,409.92,100,2022,8,1,13,30,2,30550
1700-09-09,409.175,0,0,0,0,0,409.23,500,409.06,100,409.03,100,409.29,200,409.72,50,409.92,100,2022,8,1,13,30,2,30555
1700-09-10,409.26,0,0,0,0,0,409.23,500,409.06,100,409.03,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,2,30651
1700-09-11,409.475,0,0,0,0,0,409.06,100,409.03,100,408.99,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,2,31194
1700-09-12,409.39,0,0,0,0,0,409.07,100,409.06,100,409.03,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,2,32062
1700-09-13,409.395,0,0,0,0,0,409.07,100,409.06,100,409.03,100,409.29,500,409.72,50,409.92,100,2022,8,1,13,30,2,35867
1700-09-14,409.18,0,0,0,0,0,409.07,100,409.06,100,409.03,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,2,36664
1700-09-15,409.395,0,0,0,0,0,409.23,500,409.07,100,409.06,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,2,37341
1700-09-16,409.475,0,0,0,0,0,409.23,500,409.07,100,409.06,100,409.28,200,409.72,50,409.92,100,2022,8,1,13,30,2,37682
1700-09-17,409.255,0,0,0,0,0,409.07,100,409.06,100,409.03,100,409.28,200,409.72,50,409.92,100,2022,8,1,13,30,2,37943
1700-09-18,409.17499999999995,0,0,0,0,0,409.07,100,409.06,100,409.03,100,409.28,300,409.72,50,409.92,100,2022,8,1,13,30,2,38170
1700-09-19,409.17499999999995,0,0,0,0,0,409.07,100,409.06,100,409.03,100,409.29,300,409.72,50,409.92,100,2022,8,1,13,30,2,39190
1700-09-20,409.18,0,0,0,0,0,409.07,100,409.06,100,409.03,100,409.29,100,409.72,50,409.92,100,2022,8,1,13,30,2,39365
1700-09-21,409.18,0,0,0,0,0,409.07,100,409.06,100,409.03,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,2,39412
1700-09-22,409.395,0,0,0,0,0,409.23,500,409.07,100,409.06,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,2,39536
1700-09-23,409.475,0,0,0,0,0,409.23,1000,409.07,100,409.06,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,2,44448
1700-09-24,409.475,0,0,0,0,0,409.23,500,409.07,100,409.06,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,2,58179
1700-09-25,409.475,0,0,0,0,0,409.07,100,409.06,100,409.03,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,2,58201
1700-09-26,409.395,0,0,0,0,0,409.07,100,409.06,100,409.03,100,409.28,500,409.72,50,409.92,100,2022,8,1,13,30,2,58222
1700-09-27,409.17499999999995,0,0,0,0,0,409.07,100,409.06,100,409.03,100,409.28,1000,409.72,50,409.92,100,2022,8,1,13,30,2,59047
1700-09-28,409.17499999999995,0,0,0,0,0,409.07,100,409.06,100,409.03,100,409.28,500,409.72,50,409.92,100,2022,8,1,13,30,2,59058
1700-09-29,409.17499999999995,0,0,0,0,0,409.07,100,409.06,100,409.03,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,2,59058
1700-09-30,409.395,0,0,0,0,0,409.07,100,409.06,100,409.03,100,409.27,200,409.72,50,409.92,100,2022,8,1,13,30,2,60631
1700-10-01,409.16999999999996,0,0,0,0,0,409.07,100,409.06,100,409.03,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,2,61150
1700-10-02,409.395,0,0,0,0,0,409.07,100,409.06,100,409.03,100,409.27,500,409.72,50,409.92,100,2022,8,1,13,30,2,69625
1700-10-03,409.16999999999996,0,0,0,0,0,409.07,100,409.03,100,408.99,100,409.27,500,409.72,50,409.92,100,2022,8,1,13,30,2,77169
1700-10-04,409.16999999999996,0,0,0,0,0,409.07,100,409.03,100,408.99,100,409.27,500,409.72,50,409.92,100,2022,8,1,13,30,2,77903
1700-10-05,409.16999999999996,0,0,0,0,0,409.07,100,409.03,100,408.99,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,2,78923
1700-10-06,409.395,0,0,0,0,0,409.07,100,409.03,100,408.99,100,409.28,500,409.72,50,409.92,100,2022,8,1,13,30,2,81274
1700-10-07,409.17499999999995,0,0,0,0,0,409.07,100,409.03,100,408.99,100,409.28,1000,409.72,50,409.92,100,2022,8,1,13,30,2,85776
1700-10-08,409.17499999999995,0,0,0,0,0,409.07,100,409.03,100,408.99,100,409.28,500,409.72,50,409.92,100,2022,8,1,13,30,2,85963
1700-10-09,409.17499999999995,0,0,0,0,0,409.07,100,409.03,100,408.99,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,2,85965
1700-10-10,409.395,0,0,0,0,0,409.07,100,409.03,100,408.99,100,409.28,500,409.72,50,409.92,100,2022,8,1,13,30,2,86725
1700-10-11,409.17499999999995,0,0,0,0,0,409.22,500,409.07,100,409.03,100,409.28,500,409.72,50,409.92,100,2022,8,1,13,30,2,88022
1700-10-12,409.25,0,0,0,0,0,409.22,1000,409.07,100,409.03,100,409.28,500,409.72,50,409.92,100,2022,8,1,13,30,2,88025
1700-10-13,409.25,0,0,0,0,0,409.22,1000,409.07,100,409.03,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,2,88026
1700-10-14,409.47,0,0,0,0,0,409.22,1500,409.07,100,409.03,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,2,94760
1700-10-15,409.47,0,0,0,0,0,409.23,500,409.22,1500,409.07,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,2,98371
1700-10-16,409.475,0,0,0,0,0,409.23,1000,409.22,1500,409.07,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,2,98372
1700-10-17,409.475,0,0,0,0,0,409.23,1000,409.22,1500,409.07,100,409.72,50,409.89,100,409.92,100,2022,8,1,13,30,2,99113
1700-10-18,409.475,0,0,0,0,0,409.23,1000,409.22,1500,409.07,100,409.28,500,409.72,50,409.89,100,2022,8,1,13,30,2,105200
1700-10-19,409.255,0,0,0,0,0,409.23,500,409.22,1500,409.07,100,409.28,500,409.72,50,409.89,100,2022,8,1,13,30,2,105201
1700-10-20,409.255,0,0,0,0,0,409.22,1500,409.07,100,409.03,100,409.28,500,409.72,50,409.89,100,2022,8,1,13,30,2,105207
1700-10-21,409.25,0,0,0,0,0,409.22,1500,409.07,100,409.03,100,409.28,500,409.29,500,409.72,50,2022,8,1,13,30,2,105208
1700-10-22,409.25,0,0,0,0,0,409.22,1500,409.07,100,409.03,100,409.28,500,409.29,1000,409.72,50,2022,8,1,13,30,2,105209
1700-10-23,409.25,0,0,0,0,0,409.22,1000,409.07,100,409.03,100,409.28,500,409.29,1000,409.72,50,2022,8,1,13,30,2,105210
1700-10-24,409.25,0,0,0,0,0,409.22,1000,409.07,100,409.03,100,409.29,1500,409.72,50,409.89,100,2022,8,1,13,30,2,105222
1700-10-25,409.255,0,0,0,0,0,409.22,1000,409.07,100,409.03,100,409.29,1000,409.72,50,409.89,100,2022,8,1,13,30,2,105673
1700-10-26,409.255,0,0,0,0,0,409.22,1500,409.07,100,409.03,100,409.29,1000,409.72,50,409.89,100,2022,8,1,13,30,2,105679
1700-10-27,409.255,0,0,0,0,0,409.22,1500,409.07,100,409.03,100,409.29,500,409.72,50,409.89,100,2022,8,1,13,30,2,105682
1700-10-28,409.255,0,0,0,0,0,409.22,1500,409.07,100,409.03,100,409.72,50,409.89,100,409.92,100,2022,8,1,13,30,2,105971
1700-10-29,409.47,0,0,0,0,0,409.23,200,409.22,1500,409.07,100,409.72,50,409.89,100,409.92,100,2022,8,1,13,30,2,106467
1700-10-30,409.475,0,0,0,0,0,409.23,700,409.22,1500,409.07,100,409.72,50,409.89,100,409.92,100,2022,8,1,13,30,2,106985
1700-10-31,409.475,0,0,0,0,0,409.23,1200,409.22,1500,409.07,100,409.72,50,409.89,100,409.92,100,2022,8,1,13,30,2,107749
